기본순자산금액,회계연도,순자산조정금액,소관명,적립금잉여금액,구분,합계금액
0.0,2022,555150.0,공정거래위원회,0.0,기타순자산의증감,555150.0
7933015934.0,2022,3176832927.0,공정거래위원회,399057887204.0,전기 기말순자산,410167736065.0
7933015934.0,2022,3176832927.0,공정거래위원회,399057887204.0,당기 기초순자산,410167736065.0
0.0,2022,0.0,경찰청,13843552791404.0,재원의조달및이전,13843552791404.0
0.0,2022,0.0,경찰청,13462310255145.0,재정운영결과,13462310255145.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,7905560.0,재원의이전,7905560.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,7905560.0,국고이전지출,7905560.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,0.0,조정항목,0.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,1021152328.0,전기 기말순자산,1021152328.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,1021152328.0,당기 기초순자산,1021152328.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,1021152328.0,보고금액,1021152328.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,11978892544.0,재정운영결과,11978892544.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,10957740216.0,재원의조달및이전,10957740216.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,11121954265.0,재원의조달,11121954265.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,10357996370.0,국고수입,10357996370.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,763957895.0,기타재원조달,763957895.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,164214049.0,재원의이전,164214049.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,53544920.0,국고이전지출,53544920.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,110669129.0,무상이전지출,110669129.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,0.0,조정항목,0.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,0.0,당기 기말순자산,0.0
101119697697.0,2022,102096507942.0,감사원,-24505842797.0,전기 기초순자산,178710362842.0
101119697697.0,2022,102096507942.0,감사원,-24505842797.0,보고금액,178710362842.0
0.0,2022,0.0,감사원,127449365348.0,재정운영결과,127449365348.0
0.0,2022,0.0,감사원,142875306220.0,재원의조달및이전,142875306220.0
0.0,2022,0.0,감사원,143601825140.0,재원의조달,143601825140.0
0.0,2022,0.0,감사원,126318172140.0,국고수입,126318172140.0
0.0,2022,0.0,감사원,3028680.0,제재금수익,3028680.0
0.0,2022,0.0,감사원,17280624320.0,기타재원조달,17280624320.0
0.0,2022,0.0,감사원,726518920.0,재원의이전,726518920.0
0.0,2022,0.0,감사원,726518920.0,국고이전지출,726518920.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,410007200.0,기타재원조달,410007200.0
0.0,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,11766765570.0,국고수입,11766765570.0
