계정명,세출예산액,세출예산현액,이용및이체증액,이용및이체감액,전용증액,전용감액,불용액,지출금액,회계명,회계연도,다음년도이월액,소관명,전년도이월액,예비비지출결정증액,예비비지출결정감액,초과지출승인액
,766543000000.0,941979237180.0,0.0,0.0,3730879600.0,-3730879600.0,253122888750.0,456769118450.0,국방·군사시설이전특별회계,2022,232087229980.0,국방부,175436237180.0,0.0,0.0,0.0
,36967628000000.0,37930971371250.0,219634627700.0,-219634627700.0,433252442810.0,-433252442810.0,590921318080.0,36480400100180.0,일반회계,2022,859649952990.0,국방부,951508139250.0,11835232000.0,0.0,0.0
,771635000000.0,826638019760.0,0.0,0.0,210000000.0,-210000000.0,9124041910.0,784150197950.0,주한미군기지이전특별회계,2022,33363779900.0,국방부,55003019760.0,0.0,0.0,0.0
,1921878000000.0,1922221000000.0,43977292000.0,-43977292000.0,19764321000.0,-19764321000.0,21639294070.0,1900294158010.0,일반회계,2022,287547920.0,국세청,0.0,0.0,0.0,343000000.0
공항계정,488431000000.0,509195490160.0,7016000000.0,-7016000000.0,8476735000.0,-8476735000.0,73829555050.0,368397075330.0,교통시설특별회계,2022,66968859780.0,국토교통부,20764490160.0,0.0,0.0,0.0
교통체계관리계정,926254000000.0,927493954410.0,0.0,0.0,0.0,0.0,21541479980.0,904432931280.0,교통시설특별회계,2022,1519543150.0,국토교통부,1239954410.0,0.0,0.0,0.0
도로계정,8454406000000.0,8602030967680.0,0.0,0.0,139198063000.0,-139198063000.0,21775505390.0,8188217630740.0,교통시설특별회계,2022,392037831550.0,국토교통부,147624967680.0,0.0,0.0,0.0
철도계정,5383957000000.0,5383984400000.0,0.0,0.0,0.0,0.0,80881792090.0,5220557115550.0,교통시설특별회계,2022,82545492360.0,국토교통부,27400000.0,0.0,0.0,0.0
세종특별자치시계정,26402000000.0,27838959950.0,0.0,0.0,598000000.0,-598000000.0,5693605270.0,19895492980.0,국가균형발전특별회계,2022,2249861700.0,국토교통부,1436959950.0,0.0,0.0,0.0
제주특별자치도계정,77606000000.0,77606000000.0,0.0,0.0,0.0,0.0,885000000.0,76721000000.0,국가균형발전특별회계,2022,0.0,국토교통부,0.0,0.0,0.0,0.0
지역자율계정,541340000000.0,584873110000.0,0.0,0.0,0.0,0.0,18363500000.0,566509610000.0,국가균형발전특별회계,2022,0.0,국토교통부,43533110000.0,0.0,0.0,0.0
지역지원계정,2763685000000.0,2921371798430.0,0.0,0.0,50009000000.0,-50009000000.0,217753383530.0,2512705028720.0,국가균형발전특별회계,2022,190913386180.0,국토교통부,157686798430.0,0.0,0.0,0.0
투자계정,18900000000.0,19016699990.0,0.0,0.0,0.0,0.0,3501972880.0,15514727110.0,에너지및자원사업특별회계,2022,0.0,국토교통부,116699990.0,0.0,0.0,0.0
,22335007000000.0,21766062236910.0,10280666960.0,-764278823830.0,28266431580.0,-28266431580.0,79240574240.0,21628447757060.0,일반회계,2022,58373905610.0,국토교통부,67132393780.0,117921000000.0,0.0,0.0
,42710000000.0,42827200000.0,0.0,0.0,0.0,0.0,5130078090.0,37303484640.0,혁신도시건설특별회계,2022,393637270.0,국토교통부,117200000.0,0.0,0.0,0.0
,699809000000.0,720496519540.0,139800000.0,-139800000.0,1099049000.0,-1099049000.0,55604155780.0,655470843290.0,일반회계,2022,9421520470.0,국회,20687519540.0,1300000000.0,-1300000000.0,0.0
,4156542000000.0,4156769286380.0,0.0,0.0,172848000.0,-172848000.0,4863095760.0,4151815826990.0,일반회계,2022,90363630.0,금융위원회,227286380.0,0.0,0.0,0.0
,451142000000.0,474297462170.0,100000000.0,-100000000.0,2150634000.0,-2150634000.0,17279679410.0,441570829270.0,일반회계,2022,15446953490.0,기상청,23155462170.0,0.0,0.0,0.0
,945000000.0,945000000.0,0.0,0.0,0.0,0.0,945000000.0,0.0,혁신도시건설특별회계,2022,0.0,기상청,0.0,0.0,0.0,0.0
지역자율계정,555112000000.0,555112000000.0,0.0,0.0,0.0,0.0,138778000000.0,416334000000.0,국가균형발전특별회계,2022,0.0,기획재정부,0.0,0.0,0.0,0.0
,26473108000000.0,22286620246280.0,5916000000.0,-5916000000.0,2372532000.0,-2372532000.0,2753423730880.0,19518422410910.0,일반회계,2022,14774104490.0,기획재정부,4546803280.0,750456152000.0,-4941490709000.0,0.0
세종특별자치시계정,2840000000.0,2840000000.0,0.0,0.0,0.0,0.0,0.0,2840000000.0,국가균형발전특별회계,2022,0.0,농림축산식품부,0.0,0.0,0.0,0.0
제주특별자치도계정,10157000000.0,10157000000.0,0.0,0.0,0.0,0.0,0.0,10157000000.0,국가균형발전특별회계,2022,0.0,농림축산식품부,0.0,0.0,0.0,0.0
지역자율계정,734561000000.0,762781000000.0,0.0,0.0,0.0,0.0,0.0,655096000000.0,국가균형발전특별회계,2022,107685000000.0,농림축산식품부,28220000000.0,0.0,0.0,0.0
지역지원계정,5000000000.0,5000000000.0,0.0,0.0,0.0,0.0,293500000.0,4706500000.0,국가균형발전특별회계,2022,0.0,농림축산식품부,0.0,0.0,0.0,0.0
구조개선사업계정,4918667000000.0,5016802143940.0,24989459000.0,-24989459000.0,9017097800.0,-9017097800.0,111251001360.0,4481778805550.0,농어촌구조개선특별회계,2022,423772337030.0,농림축산식품부,53017143940.0,45118000000.0,0.0,0.0
농어촌특별세사업계정,7863349000000.0,7867886949830.0,0.0,0.0,263000000.0,-263000000.0,60538629730.0,7417205886100.0,농어촌구조개선특별회계,2022,390142434000.0,농림축산식품부,4537949830.0,0.0,0.0,0.0
손익계정,2187820000000.0,2188003102000.0,0.0,0.0,80877787000.0,-80877787000.0,718214930.0,2187284887070.0,양곡관리특별회계,2022,0.0,농림축산식품부,183102000.0,0.0,0.0,0.0
융자계정,2646000000.0,2646000000.0,0.0,0.0,0.0,0.0,0.0,2646000000.0,에너지및자원사업특별회계,2022,0.0,농림축산식품부,0.0,0.0,0.0,0.0
투자계정,19405000000.0,19405000000.0,0.0,0.0,0.0,0.0,0.0,19405000000.0,에너지및자원사업특별회계,2022,0.0,농림축산식품부,0.0,0.0,0.0,0.0
,3319596000000.0,3372703203880.0,662000000.0,-662000000.0,653345000.0,-653345000.0,20819631350.0,3340925928010.0,일반회계,2022,10957644520.0,농림축산식품부,7989203880.0,45118000000.0,0.0,0.0
세종특별자치시계정,590000000.0,590000000.0,0.0,0.0,0.0,0.0,0.0,590000000.0,국가균형발전특별회계,2022,0.0,농촌진흥청,0.0,0.0,0.0,0.0
제주특별자치도계정,3385000000.0,3385000000.0,0.0,0.0,0.0,0.0,0.0,3385000000.0,국가균형발전특별회계,2022,0.0,농촌진흥청,0.0,0.0,0.0,0.0
지역자율계정,63342000000.0,65893000000.0,0.0,0.0,0.0,0.0,0.0,65893000000.0,국가균형발전특별회계,2022,0.0,농촌진흥청,2551000000.0,0.0,0.0,0.0
지역지원계정,25006000000.0,25006000000.0,0.0,0.0,0.0,0.0,33251010.0,24972748990.0,국가균형발전특별회계,2022,0.0,농촌진흥청,0.0,0.0,0.0,0.0
구조개선사업계정,28135000000.0,28135000000.0,0.0,0.0,0.0,0.0,79350730.0,28055649270.0,농어촌구조개선특별회계,2022,0.0,농촌진흥청,0.0,0.0,0.0,0.0
,1026673000000.0,1043134169220.0,5993000000.0,-5993000000.0,3328644000.0,-3328644000.0,18757223820.0,1018500592480.0,일반회계,2022,5876352920.0,농촌진흥청,16461169220.0,0.0,0.0,0.0
,305403000000.0,313260867290.0,0.0,0.0,500000000.0,-500000000.0,60927230020.0,249256102230.0,등기특별회계,2022,3077535040.0,대법원,7857867290.0,0.0,0.0,0.0
,1712674000000.0,1729427634950.0,3749440000.0,-3749440000.0,6325973000.0,-6325973000.0,14015044560.0,1705531546540.0,일반회계,2022,9881043850.0,대법원,16753634950.0,0.0,0.0,0.0
,96404000000.0,106575123000.0,0.0,0.0,103000000.0,-103000000.0,2604626730.0,103821880270.0,일반회계,2022,148616000.0,대통령경호처,173630000.0,9997493000.0,0.0,0.0
,93132000000.0,93132000000.0,0.0,0.0,52469620.0,-52469620.0,8881407210.0,84250592790.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,0.0,0.0,0.0
지역지원계정,9675000000.0,9675000000.0,0.0,0.0,0.0,0.0,0.0,9675000000.0,국가균형발전특별회계,2022,0.0,문화재청,0.0,0.0,0.0,0.0
,1026485000000.0,1068467177030.0,0.0,0.0,1016279000.0,-1016279000.0,19542961600.0,1031313625000.0,일반회계,2022,17610590430.0,문화재청,32312177030.0,9670000000.0,0.0,0.0
세종특별자치시계정,8800000000.0,8800000000.0,0.0,0.0,0.0,0.0,50000000.0,8750000000.0,국가균형발전특별회계,2022,0.0,문화체육관광부,0.0,0.0,0.0,0.0
제주특별자치도계정,15695000000.0,15695000000.0,0.0,0.0,0.0,0.0,7644000000.0,8051000000.0,국가균형발전특별회계,2022,0.0,문화체육관광부,0.0,0.0,0.0,0.0
