사업규모설명,회계연도,소관명,총사업비,사업유형대분류,사업유형중분류,사업유형,설계비,기타관리금액,시설부대비,총사업비명,보상비,예비비,감리비,공사비
,2023,과학기술정보통신부,40799,R&D,연구기반구축 R&D,연구시설,1201,0,995,원자력시설 폐기물 감용실험동 구축,664,0,1682,36257
,2023,과학기술정보통신부,22206,R&D,연구기반구축 R&D,연구시설,1445,0,70,자원동 환경개선사업,0,0,1404,19287
,2023,과학기술정보통신부,176998,R&D,연구기반구축 R&D,연구시설,851,0,810,중입자가속기구축지원(R&D),0,0,2583,172754
,2023,과학기술정보통신부,29139,R&D,연구기반구축 R&D,연구시설,1191,0,54,차세대 AI반도체 첨단공정 Fab 구축,2489,0,1586,23819
,2023,과학기술정보통신부,26837,R&D,연구기반구축 R&D,연구시설,351,0,22,초전도 도체 시험설비 구축(R&D),1236,0,98,25130
,2023,과학기술정보통신부,23270,R&D,연구기반구축 R&D,연구시설,1330,0,165,한국식품연구원 경북본부 지역조직 설립,2640,0,2384,16751
,2023,과학기술정보통신부,42087,R&D,연구기반구축 R&D,연구시설,1530,0,137,혁신 디지털 의과학원 구축,0,0,2100,38320
,2023,과학기술정보통신부,34794,건축,관람 및 집회시설,박물관 등 전시시설,1474,0,127,공립 소재분야 전문과학관 건립,160,0,1663,31370
,2023,과학기술정보통신부,31404,건축,관람 및 집회시설,박물관 등 전시시설,1286,0,72,공립 항공우주분야 전문과학관 건립,6568,0,1318,22160
,2023,과학기술정보통신부,40794,건축,관람 및 집회시설,박물관 등 전시시설,1288,0,59,국립강원 전문과학관 건립,11271,0,2125,26051
,2023,과학기술정보통신부,43849,건축,관람 및 집회시설,박물관 등 전시시설,1732,0,91,국립울산 탄소중립 전문과학관 건립,2774,0,2549,36703
,2023,과학기술정보통신부,52196,건축,관람 및 집회시설,박물관 등 전시시설,2798,0,98,복합과학체험랜드 조성사업,0,4756,2519,42025
,2023,과학기술정보통신부,28383,건축,"소방서,우체국 등","소방서,우체국 등",872,0,57,경주우체국 건립공사,7500,0,1832,18122
,2023,과학기술정보통신부,21911,건축,"소방서,우체국 등","소방서,우체국 등",783,0,50,남양주다산우체국 건립공사,4500,0,1578,15000
,2023,과학기술정보통신부,26919,건축,"소방서,우체국 등","소방서,우체국 등",1230,0,74,마산우체국 건립공사,0,0,1894,23721
,2023,과학기술정보통신부,28896,건축,"소방서,우체국 등","소방서,우체국 등",1232,0,81,부산사상우체국 건립공사,0,0,2278,25305
,2023,과학기술정보통신부,285158,건축,"소방서,우체국 등","소방서,우체국 등",13418,0,718,서울양천우체국 건립사업,0,0,10384,260638
,2023,과학기술정보통신부,19149,건축,"소방서,우체국 등","소방서,우체국 등",525,0,25,양주옥정우체국 건립공사,3812,0,597,14190
,2023,과학기술정보통신부,28881,건축,"소방서,우체국 등","소방서,우체국 등",1069,0,63,오산우체국 건립공사,5684,0,1957,20108
,2023,과학기술정보통신부,27797,건축,"소방서,우체국 등","소방서,우체국 등",738,0,117,인천검단우체국 건립공사,6300,0,1842,18800
,2023,과학기술정보통신부,40098,건축,"소방서,우체국 등","소방서,우체국 등",1516,0,89,평택우체국 건립공사,10411,0,2420,25662
,2023,과학기술정보통신부,27699,건축,"소방서,우체국 등","소방서,우체국 등",972,0,59,화성우체국 건립공사,0,0,1620,25048
,2023,과학기술정보통신부,69097,건축,업무시설(공공청사),업무시설(공공청사),2817,0,91,연구개발특구운영및인프라지원사업(대덕특구 융합연구혁신센터 조성),19936,0,2089,44164
,2023,과학기술정보통신부,30868,건축,업무시설(공공청사),업무시설(공공청사),1603,0,55,연구개발특구운영및인프라지원사업(마중물플라자 조성),887,0,1691,26632
,2023,과학기술정보통신부,306894,건축,학교등 교육연구시설,연구단지 조성,9029,0,328,혁신원자력연구개발기반조성사업,81306,0,6527,209704
,2023,과학기술정보통신부,28494,건축,학교등 교육연구시설,연구시설,1345,0,73,과학벨트 거점지구 인프라 구축사업,2946,0,3153,20977
,2023,과학기술정보통신부,45700,건축,학교등 교육연구시설,연구시설,1388,0,63,수도권통합센터 연구동 건설사업,13100,0,1235,29914
,2023,과학기술정보통신부,41296,건축,학교등 교육연구시설,연구시설,1480,0,126,연구동 환경개선사업,0,0,1409,38281
,2023,과학기술정보통신부,27696,건축,학교등 교육연구시설,학교 등 교육시설,1205,0,104,R&D 정보평가센터 건립,0,0,2166,24221
,2023,과학기술정보통신부,310503,정보화,정보화,정보화,0,0,0,우체국 차세대 종합금융시스템 구축,0,0,1930,308573
