계정명,DIF_AMT,이체등증감액,회계명,회계연도,불납결손액,미수납액,소관명,수납금액,징수결정금액,세입예산액,세입예산현액
제주특별자치도계정,917495740.0,0.0,국가균형발전특별회계,2022,0.0,0.0,문화체육관광부,919495740.0,919495740.0,2000000.0,2000000.0
지역자율계정,7195668840.0,0.0,국가균형발전특별회계,2022,0.0,8599734260.0,문화체육관광부,19713668840.0,28313403100.0,12518000000.0,12518000000.0
지역지원계정,5996791820.0,0.0,국가균형발전특별회계,2022,0.0,5660835420.0,문화체육관광부,15322791820.0,20983627240.0,9326000000.0,9326000000.0
,27143303960.0,0.0,아시아문화중심도시조성특별회계,2022,0.0,81116780.0,문화체육관광부,168385303960.0,168466420740.0,141242000000.0,141242000000.0
,138396935650.0,0.0,일반회계,2022,0.0,15430989550.0,문화체육관광부,198909935650.0,214340925200.0,60513000000.0,60513000000.0
,7112110.0,0.0,일반회계,2022,0.0,11909970.0,민주평화통일자문회의,12112110.0,24022080.0,5000000.0,5000000.0
,-8760152050.0,0.0,일반회계,2022,12606879650.0,80168651680.0,방송통신위원회,22348847950.0,115124379280.0,31109000000.0,31109000000.0
,-81274091500.0,0.0,일반회계,2022,0.0,569370508100.0,방위사업청,242060908500.0,811431416600.0,323335000000.0,323335000000.0
,-3541550860.0,0.0,교도작업특별회계,2022,0.0,208756480.0,법무부,118032449140.0,118241205620.0,121574000000.0,121574000000.0
,-60662555000.0,0.0,일반회계,2022,779240.0,14836574960.0,법무부,1295093445000.0,1309930799200.0,1355756000000.0,1355756000000.0
,289117610.0,0.0,일반회계,2022,0.0,0.0,법제처,289117610.0,289117610.0,0.0,0.0
,181439740.0,0.0,일반회계,2022,0.0,47500000.0,병무청,483439740.0,530939740.0,302000000.0,302000000.0
지역지원계정,39275639730.0,0.0,국가균형발전특별회계,2022,0.0,29387522410.0,보건복지부,56775639730.0,86163162140.0,17500000000.0,17500000000.0
손익계정,4030288180.0,0.0,국립공주병원,2022,0.0,308717350.0,보건복지부,20429288180.0,20738005530.0,16399000000.0,16399000000.0
자본계정,127737210.0,0.0,국립공주병원,2022,0.0,0.0,보건복지부,1250737210.0,1250737210.0,1123000000.0,1123000000.0
손익계정,1377223000.0,0.0,국립나주병원,2022,0.0,902456220.0,보건복지부,23135223000.0,24037679220.0,21758000000.0,21758000000.0
자본계정,371564710.0,0.0,국립나주병원,2022,0.0,0.0,보건복지부,1912564710.0,1912564710.0,1541000000.0,1541000000.0
손익계정,2221028950.0,0.0,국립부곡병원,2022,0.0,554803800.0,보건복지부,22199028950.0,22753832750.0,19978000000.0,19978000000.0
자본계정,247845720.0,0.0,국립부곡병원,2022,0.0,0.0,보건복지부,1703845720.0,1703845720.0,1456000000.0,1456000000.0
손익계정,3391699050.0,0.0,국립재활원,2022,0.0,666367830.0,보건복지부,58175699050.0,58842066880.0,54784000000.0,54784000000.0
