TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,269843,M,11620,관악구,Gwanak-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,261735,M,11620,관악구,Gwanak-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,435440,M,11650,서초구,Seocho-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,210977,M,11650,서초구,Seocho-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,224463,M,11650,서초구,Seocho-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,570296,M,11680,강남구,Gangnam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,274459,M,11680,강남구,Gangnam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,295837,M,11680,강남구,Gangnam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,685271,M,11710,송파구,Songpa-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,336192,M,11710,송파구,Songpa-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,349079,M,11710,송파구,Songpa-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,492340,M,11740,강동구,Gangdong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,246740,M,11740,강동구,Gangdong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,245600,M,11740,강동구,Gangdong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,3566560,M,26,부산광역시,Busan,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,1772383,M,26,부산광역시,Busan,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,1794177,M,26,부산광역시,Busan,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,49402,M,26110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,24313,M,26110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,25089,M,26110,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,125867,M,26140,서구,Seo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,62442,M,26140,서구,Seo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,63425,M,26140,서구,Seo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,101483,M,26170,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,50675,M,26170,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,50808,M,26170,동구,Dong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,146519,M,26200,영도구,Yeongdo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,73147,M,26200,영도구,Yeongdo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,73372,M,26200,영도구,Yeongdo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,395299,M,26230,부산진구,Busanjin-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,195644,M,26230,부산진구,Busanjin-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,199655,M,26230,부산진구,Busanjin-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,283649,M,26260,동래구,Dongnae-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,140456,M,26260,동래구,Dongnae-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,143193,M,26260,동래구,Dongnae-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,297868,M,26290,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,147969,M,26290,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,149899,M,26290,남구,Nam-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,311604,M,26320,북구,Buk-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,155796,M,26320,북구,Buk-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,155808,M,26320,북구,Buk-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,426460,M,26350,해운대구,Haeundae-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,208593,M,26350,해운대구,Haeundae-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,217867,M,26350,해운대구,Haeundae-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,358430,M,26380,사하구,Saha-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,179742,M,26380,사하구,Saha-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,178688,M,26380,사하구,Saha-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,255574,M,26410,금정구,Geumjeong-gu,
