계정명,이체등증감액,회계명,회계연도,수입항,수입항명,수입관,수입관명,불납결손액,미수납액,소관명,수납액,징수결정액,세입예산액/당초수입계획액,세입예산액/수정수입계획액,세입예산현액/수입계획현액,수납순액
,0,일반회계,2022,31,관세,2,관세,6904867460,1.4331E+12,기획재정부,1.03241E+13,1.17641E+13,1.00613E+13,1.00613E+13,1.00613E+13,1.03241E+13
,0,일반회계,2022,32,방위세,3,방위세,4404160,408056550,기획재정부,897989130,1310449840,0,0,0,897989130
,0,일반회계,2022,33,교통·에너지·환경세,4,교통·에너지·환경세,3394620540,21950745630,기획재정부,1.11164E+13,1.11417E+13,1.09022E+13,1.09022E+13,1.09022E+13,1.11164E+13
,0,일반회계,2022,34,교육세,6,교육세,2476749500,61214939376,기획재정부,4.64438E+12,4.70807E+12,4.7266E+12,4.7266E+12,4.7266E+12,4.64438E+12
,0,일반회계,2022,37,농어촌특별세,8,농어촌특별세,3889097140,2.28072E+11,기획재정부,0,2.31961E+11,0,0,0,0
,0,일반회계,2022,39,종합부동산세,9,종합부동산세,6392217490,1.15563E+12,기획재정부,6.79881E+12,7.96083E+12,8.6204E+12,8.6204E+12,8.6204E+12,6.79881E+12
,0,일반회계,2022,51,관유물대여료,11,재산수입,0,59137244620,기획재정부,0,59137244620,0,0,0,0
,0,일반회계,2022,52,정부출자수입,11,재산수입,0,0,기획재정부,1.6826E+12,1.6826E+12,1.6826E+12,1.6826E+12,1.6826E+12,1.6826E+12
,0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,5.48074E+12,5.48074E+12,5.4794E+12,5.4794E+12,5.4794E+12,5.48074E+12
,0,일반회계,2022,56,"벌금,몰수금및과태료",12,경상이전수입,0,39500000,기획재정부,148680000,188180000,209000000,209000000,209000000,148680000
,0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0,2.5909E+11,기획재정부,0,2.5909E+11,3000000,3000000,3000000,0
,0,일반회계,2022,58,가산금,12,경상이전수입,0,0,기획재정부,0,0,1000000,1000000,1000000,0
,0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0,5642024220,기획재정부,9442420400,15084444620,8465950000,8465950000,8465950000,9442420400
,0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0,0,기획재정부,2966080,2966080,2000000,2000000,2000000,2966080
,0,일반회계,2022,71,고정자산매각대,15,관유물매각대,0,4347267000,기획재정부,0,4347267000,0,0,0,0
,0,일반회계,2022,72,토지및무형자산매각대,15,관유물매각대,0,5.68026E+11,기획재정부,0,5.68026E+11,0,0,0,0
,0,일반회계,2022,73,재고자산매각대및유동자산,15,관유물매각대,0,0,기획재정부,57634912480,57634912480,44849000000,44849000000,44849000000,57634912480
,0,일반회계,2022,88,전년도이월금,33,전년도이월금,0,0,기획재정부,2.64766E+12,2.64766E+12,0,0,0,2.64766E+12
,0,일반회계,2022,89,세계잉여금이입액,34,세계잉여금,0,0,기획재정부,3.26181E+12,3.26181E+12,3.26181E+12,3.26181E+12,3.26181E+12,3.26181E+12
,0,일반회계,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,1.67582E+11,1.67582E+11,1.67982E+11,1.67982E+11,1.67982E+11,1.67582E+11
,0,일반회계,2022,94,예수금,40,정부내부수입및기타,0,0,기획재정부,8.62E+13,8.62E+13,9.11917E+13,9.11917E+13,9.11917E+13,8.62E+13
지역자율계정,0,국가균형발전특별회계,2022,23,주세,1,내국세,0,0,기획재정부,1.50661E+12,1.50661E+12,1.49496E+12,1.49496E+12,1.49496E+12,1.50661E+12
지역자율계정,0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0,0,기획재정부,55758832700,55758832700,0,0,0,55758832700
지역자율계정,0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0,0,기획재정부,0,0,23635000000,23635000000,23635000000,0
지역자율계정,0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,9.9088E+11,9.9088E+11,1.06795E+12,1.06795E+12,1.06795E+12,9.9088E+11
지역지원계정,0,국가균형발전특별회계,2022,23,주세,1,내국세,0,0,기획재정부,2.25992E+12,2.25992E+12,2.24244E+12,2.24244E+12,2.24244E+12,2.25992E+12
지역지원계정,0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0,0,기획재정부,74769381440,74769381440,0,0,0,74769381440
지역지원계정,0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0,0,기획재정부,0,0,-3.357E+11,-3.357E+11,-3.357E+11,0
지역지원계정,0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,5.74223E+12,5.74223E+12,5.88101E+12,5.88101E+12,5.88101E+12,5.74223E+12
제주특별자치도계정,0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0,0,기획재정부,4213000000,4213000000,0,0,0,4213000000
제주특별자치도계정,0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0,0,기획재정부,22046245600,22046245600,0,0,0,22046245600
제주특별자치도계정,0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,2.65008E+11,2.65008E+11,2.65008E+11,2.65008E+11,2.65008E+11,2.65008E+11
세종특별자치시계정,0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0,0,기획재정부,1436959950,1436959950,0,0,0,1436959950
세종특별자치시계정,0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0,0,기획재정부,4639466890,4639466890,0,0,0,4639466890
세종특별자치시계정,0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,71584000000,71584000000,71584000000,71584000000,71584000000,71584000000
총괄계정,0,공공자금관리기금,2022,54,기타이자수입및재산수입,11,재산수입,0,183366440,기획재정부,3.43043E+11,3.43226E+11,2.06945E+11,2.06945E+11,2.06945E+11,3.43043E+11
총괄계정,0,공공자금관리기금,2022,75,융자원금회수,20,융자및전대차관원금회수,0,0,기획재정부,5.54627E+11,5.54627E+11,3.94093E+11,3.94093E+11,3.94093E+11,5.54627E+11
총괄계정,0,공공자금관리기금,2022,81,국공채수입,31,차입금및여유자금회수,0,0,기획재정부,1.58998E+14,1.58998E+14,1.66002E+14,1.77317E+14,1.77317E+14,1.58998E+14
총괄계정,0,공공자금관리기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,3.06837E+14,3.06837E+14,100000000,4.72145E+12,4.72145E+12,5.21213E+12
총괄계정,0,공공자금관리기금,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,16292000000,16292000000,16292000000,16292000000,16292000000,16292000000
총괄계정,0,공공자금관리기금,2022,92,예탁원금회수,40,정부내부수입및기타,0,0,기획재정부,4.03763E+13,4.03763E+13,3.46694E+13,3.72024E+13,3.72024E+13,4.03763E+13
총괄계정,0,공공자금관리기금,2022,94,예수금,40,정부내부수입및기타,0,0,기획재정부,2.77382E+13,2.77382E+13,2.22941E+13,2.78647E+13,2.78647E+13,2.77382E+13
총괄계정,0,공공자금관리기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,6016670180,기획재정부,1.67454E+13,1.67514E+13,1.90739E+13,1.93611E+13,1.93611E+13,1.67454E+13
융자계정,0,공공자금관리기금,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,10818182790,10818182790,6894000000,6894000000,6894000000,10818182790
융자계정,0,공공자금관리기금,2022,75,융자원금회수,20,융자및전대차관원금회수,0,0,기획재정부,84374881000,84374881000,77439000000,77439000000,77439000000,84374881000
융자계정,0,공공자금관리기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,1.1676E+12,1.1676E+12,2.70486E+11,2.70486E+11,2.70486E+11,3.07818E+11
융자계정,0,공공자금관리기금,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,12112000000,12112000000,12112000000,12112000000,12112000000,12112000000
융자계정,0,공공자금관리기금,2022,92,예탁원금회수,40,정부내부수입및기타,0,0,기획재정부,6219600000,6219600000,6220000000,6220000000,6220000000,6219600000
융자계정,0,공공자금관리기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,0,기획재정부,345852230,345852230,378000000,378000000,378000000,345852230
차관계정,0,공공자금관리기금,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,7156649820,7156649820,1000000000,1000000000,1000000000,7156649820
차관계정,0,공공자금관리기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,1.22989E+12,1.22989E+12,3.10663E+11,3.10663E+11,3.10663E+11,3.43994E+11
