당년도순원가,당년도수익,당년도총원가,구분,회계연도,전년도순원가,전년도수익,전년도총원가,소관명
20539500.0,0.0,0.0,(3)인쇄비,2022,35101850.0,0.0,0.0,국회
303520000.0,0.0,0.0,(20)연구개발비,2022,21120000.0,0.0,0.0,국회
5855697.0,0.0,0.0,(19)이자비용,2022,0.0,0.0,0.0,국회
1628842602.0,0.0,0.0,(18)감가상각비,2022,719972347.0,0.0,0.0,국회
9320000.0,0.0,0.0,(17)보전비,2022,0.0,0.0,0.0,국회
124839150.0,0.0,0.0,(16)외주용역비,2022,19214100.0,0.0,0.0,국회
3488146531.0,0.0,0.0,(15)업무추진비,2022,3423710098.0,0.0,0.0,국회
714141920.0,0.0,0.0,(14)여비교통비,2022,390964173.0,0.0,0.0,국회
30797660.0,0.0,0.0,(13)수선유지비,2022,31115500.0,0.0,0.0,국회
154927054.0,0.0,0.0,(12)유류비,2022,119180183.0,0.0,0.0,국회
622510167.0,0.0,0.0,(11)지급임차료,2022,446935821.0,0.0,0.0,국회
3829797700.0,0.0,0.0,(10)교육훈련비,2022,3956107940.0,0.0,0.0,국회
40679120.0,0.0,0.0,(9)피복비와급량비,2022,34971240.0,0.0,0.0,국회
18756557.0,0.0,0.0,(8)지급보험료,2022,15586583.0,0.0,0.0,국회
1579051010.0,0.0,0.0,(7)수도광열비,2022,1333719900.0,0.0,0.0,국회
817251760.0,0.0,0.0,(6)세금과공과,2022,717722111.0,0.0,0.0,국회
138185037.0,0.0,0.0,(5)지급수수료,2022,54148078.0,0.0,0.0,국회
0.0,0.0,0.0,(4)광고선전비,2022,573000.0,0.0,0.0,국회
2374103511445.0,0.0,0.0,재정운영결과,2022,2651809524837.0,0.0,0.0,국세청
2374103511445.0,0.0,0.0,재정운영순원가,2022,2651809524837.0,0.0,0.0,국세청
2560171021036.0,0.0,2560171021036.0,2.급식및피복,2022,2404900999396.0,0.0,2404900999396.0,국방부
15839307835563.0,0.0,15839307835563.0,1.급여정책,2022,15287157732927.0,0.0,15287157732927.0,국방부
52242723011073.0,-1125610623480.0,53368333634553.0,프로그램순원가,2022,54936118913054.0,-1114951534608.0,56051070447662.0,국방부
98968006768.0,0.0,0.0,재정운영결과,2022,97676199661.0,0.0,0.0,국민권익위원회
98968006768.0,0.0,0.0,재정운영순원가,2022,97676199661.0,0.0,0.0,국민권익위원회
97617204.0,0.0,0.0,2.기타수익,2022,35066970.0,0.0,0.0,국민권익위원회
7480000.0,0.0,0.0,1.재화및용역제공수익,2022,600000.0,0.0,0.0,국민권익위원회
105097204.0,0.0,0.0,비배분수익,2022,35666970.0,0.0,0.0,국민권익위원회
83516960.0,0.0,0.0,1.기타비용,2022,97258933.0,0.0,0.0,국민권익위원회
83516960.0,0.0,0.0,비배분비용,2022,97258933.0,0.0,0.0,국민권익위원회
0.0,0.0,0.0,관리운영비,2022,0.0,0.0,0.0,국민권익위원회
98989587012.0,0.0,98989587012.0,1.국민권익증진,2022,97614607698.0,0.0,97614607698.0,국민권익위원회
98989587012.0,0.0,98989587012.0,프로그램순원가,2022,97614607698.0,0.0,97614607698.0,국민권익위원회
645269178400.0,0.0,0.0,재정운영결과,2022,632190643865.0,0.0,0.0,국무조정실 및 국무총리비서실
645269178400.0,0.0,0.0,재정운영순원가,2022,632190643865.0,0.0,0.0,국무조정실 및 국무총리비서실
275138343.0,0.0,0.0,1.기타수익,2022,382691415.0,0.0,0.0,국무조정실 및 국무총리비서실
275138343.0,0.0,0.0,비배분수익,2022,382691415.0,0.0,0.0,국무조정실 및 국무총리비서실
292770964901.0,0.0,292770964901.0,3.회계기금간거래(전출금),2022,234104182771.0,0.0,234104182771.0,국방부
743564505184.0,0.0,743564505184.0,4.국방정보화,2022,451558605520.0,0.0,451558605520.0,국방부
806129668897.0,-342781769704.0,1148911438601.0,5.장병보건및복지향상,2022,518833813567.0,-357525096118.0,876358909685.0,국방부
10559698833.0,0.0,0.0,(5)지급수수료,2022,8850778375.0,0.0,0.0,국방부
2125736620.0,0.0,0.0,(4)광고선전비,2022,1081794600.0,0.0,0.0,국방부
1255704640.0,0.0,0.0,(3)인쇄비,2022,490435220.0,0.0,0.0,국방부
60326254368.0,0.0,0.0,(2)소모품비,2022,59566256097.0,0.0,0.0,국방부
164209093030.0,0.0,0.0,(1)복리후생비,2022,157221817560.0,0.0,0.0,국방부
680978026084.0,0.0,0.0,2.경비,2022,744954688254.0,0.0,0.0,국방부
37135117324.0,0.0,0.0,1.인건비,2022,35247595569.0,0.0,0.0,국방부
718113143408.0,0.0,0.0,관리운영비,2022,780202283823.0,0.0,0.0,국방부
14725337018622.0,-710127820875.0,15435464839497.0,14.군인연금(연금정책),2022,14602214530758.0,-691852413263.0,15294066944021.0,국방부
1142312882167.0,0.0,1142312882167.0,13.정책기획 및 국제협력,2022,802923984077.0,0.0,802923984077.0,국방부
272490280418.0,-18398940799.0,290889221217.0,12.미군기지이전사업,2022,291350936849.0,-15612078417.0,306963015266.0,국방부
44668754094.0,-54302092102.0,98970846196.0,11.국방군사시설이전사업,2022,53779819839.0,-49961946810.0,103741766649.0,국방부
194027818843.0,0.0,194027818843.0,10.책임운영기관 운영,2022,144399703976.0,0.0,144399703976.0,국방부
96027678317.0,0.0,96027678317.0,9.예비전력관리,2022,66272538537.0,0.0,66272538537.0,국방부
