세출예산현액,세출증감액,불용액,세출지출액,회계연도,다음년도이월액,소관명,수납액,예산현액,증감액
3.94527E+12,5892002510,5664716130,3.93938E+12,2021,227286380,금융위원회,2.58122E+11,2.48069E+11,10052599730
4.45682E+11,44139336690,20983874520,4.01543E+11,2021,23155462170,기상청,17439047020,22723000000,-5283952980
2.00796E+13,1.9711E+12,1.96656E+12,1.81085E+13,2021,4546803280,기획재정부,4.39656E+14,4.2636E+14,1.32961E+13
1.96424E+13,2.04339E+11,1.10392E+11,1.94381E+13,2021,93947399650,농림축산식품부,1.98317E+13,1.66267E+13,3.20498E+12
1.12934E+12,35386725640,16374556420,1.09395E+12,2021,19012169220,농촌진흥청,18268994650,12433000000,5835994650
2.09217E+12,1.58914E+11,1.34302E+11,1.93326E+12,2021,24611502240,대법원,7.88126E+11,9.88194E+11,-2.00068E+11
92862175000,8405656230,8232026230,84456518770,2021,173630000,대통령경호처,120657220,80000000,40657220
97607000000,7659429740,7659429740,89947570260,2021,0,대통령비서실 및 국가안보실,702178850,243000000,459178850
1.01641E+12,55864573970,23552396940,9.60541E+11,2021,32312177030,문화재청,43384727010,44786000000,-1401272990
3.91429E+12,2.50945E+11,1.46198E+11,3.66335E+12,2021,1.04747E+11,문화체육관광부,2.48596E+11,2.27666E+11,20930296800
32918000000,1655507200,1655507200,31262492800,2021,0,민주평화통일자문회의,15172000,6000000,9172000
52149761000,3811860180,3661860180,48337900820,2021,150000000,방송통신위원회,2204544070,35250000000,-33045455930
1.66359E+13,4.12845E+11,1.24005E+11,1.62231E+13,2021,2.8884E+11,방위사업청,2.71641E+11,4.52879E+11,-1.81238E+11
4.16205E+12,2.25877E+11,1.92098E+11,3.93618E+12,2021,33778361770,법무부,1.38573E+12,2.069E+12,-6.83267E+11
40737000000,3446450800,3446450800,37290549200,2021,0,법제처,83472390,0,83472390
2.44368E+11,24350208710,24350208710,2.20018E+11,2021,0,병무청,316682190,1526000000,-1209317810
6.09657E+13,93327866580,62487748400,6.08724E+13,2021,30840118180,보건복지부,1.02145E+12,6.88175E+11,3.33276E+11
3.34689E+12,84027306640,41750557830,3.26286E+12,2021,42276748810,산림청,1.13265E+12,1.01148E+12,1.2117E+11
1.21198E+13,4.43638E+11,3.56688E+11,1.16761E+13,2021,86950298340,산업통상자원부,8.10864E+12,8.43903E+12,-3.30385E+11
3.04174E+11,9606926980,3779085310,2.94567E+11,2021,5827841670,새만금개발청,4579194850,5390000000,-810805150
2.24657E+11,14834655930,7515288210,2.09822E+11,2021,7319367720,소방청,3812805500,2840000000,972805500
6.18698E+11,24640532960,19809972530,5.94058E+11,2021,4830560430,식품의약품안전처,38036407940,32062000000,5974407940
6.14331E+11,18849208120,6925167870,5.95481E+11,2021,11924040250,여성가족부,46267581170,10717000000,35550581170
2.78628E+12,1.76333E+11,1.62535E+11,2.60995E+12,2021,13797566500,외교부,49269053580,1.98194E+11,-1.48925E+11
1.58517E+11,2165761310,2089037310,1.56352E+11,2021,76724000,원자력안전위원회,1472111280,1677000000,-204888720
3.77563E+12,10400502940,10400502940,3.76523E+12,2021,0,인사혁신처,68111145980,68328000000,-216854020
4.66591E+11,59471105110,53322656950,4.0712E+11,2021,6148448160,조달청,5.11956E+11,4.64271E+11,47684353140
2.25403E+13,24478326430,11870135430,2.25158E+13,2021,12608191000,중소벤처기업부,1.7215E+11,1.55423E+11,16727139900
3.85261E+11,25323010850,25259332950,3.59938E+11,2021,63677900,중앙선거관리위원회,1144529570,1537000000,-392470430
11448000000,3138313250,2938928380,8309686750,2021,199384870,진실·화해를위한과거사정리위원회,0,0,0
9.09654E+12,7.36631E+11,58116069600,8.35991E+12,2021,6.78515E+11,질병관리청,62251908090,36096000000,26155908090
4.17018E+11,22660718110,22660718110,3.94358E+11,2021,0,통계청,4908224940,3637000000,1271224940
3.29981E+11,35732831120,33754661000,2.94248E+11,2021,1978170120,통일부,2171771390,2820000000,-648228610
6.39308E+11,15734691920,15734691920,6.23573E+11,2021,0,특허청,7.23333E+11,6.39308E+11,84025285660
1.54966E+12,39433875860,32198760080,1.51023E+12,2021,7235115780,해양경찰청,5299977290,6872000000,-1572022710
7.45941E+12,3.88628E+11,2.01931E+11,7.07078E+12,2021,1.86697E+11,해양수산부,1.74881E+12,1.79358E+12,-44770178470
7.26507E+13,2.02288E+11,1.16678E+11,7.24484E+13,2021,85609895020,행정안전부,2.69607E+11,61783000000,2.07824E+11
8.786E+11,36384700860,6872078430,8.42215E+11,2021,29512622430,행정중심복합도시건설청,4.46493E+11,4.36102E+11,10391231240
52602000000,3800894950,3791894950,48801105050,2021,9000000,헌법재판소,96253480,41000000,55253480
1.62355E+13,6.86898E+11,4.47259E+11,1.55486E+13,2021,2.39639E+11,환경부,7.66933E+12,7.56128E+12,1.08052E+11
7727488310,2010409730,1732809730,5717078580,2020,277600000,5·18민주화운동 진상규명조사위원회,56951090,0,56951090
20424690560,5642031070,4764041130,14782659490,2020,877989940,가습기살균제사건과 4·16세월호참사 특별조사위원회,22450860,0,22450860
