계정명,단위사업,단위사업명,ANEXP_BDGAMT_F,ANEXP_BDGAMT_M,ANEXP_BDG_CAMT,AVDV_IAMT,AVDV_MAMT,BDTR_IAMT,BDTR_MAMT,지출목,지출목명,DUSEAMT,EP_AMT,EP_NAMT,분야,분야명,FNT_IAMT,FNT_MAMT,회계명,회계연도,NEXT_YY_BFWAMT,소관명,OVR_EP_AMT,프로그램,프로그램명,PREY_BFWAMT,RSVF_EP_DCS_IAMT,RSVF_EP_DCS_MAMT,부문,부문명
,1231,경호행사지원,1748000000.0,1748000000.0,1748000000.0,0.0,0.0,0.0,0.0,240,업무추진비,22332000.0,1725668000.0,1725668000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,0.0,0.0,016,일반행정
,1231,경호행사지원,2333600000.0,2333600000.0,2333600000.0,0.0,0.0,0.0,0.0,250,직무수행경비,144672770.0,2188927230.0,2188927230.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,0.0,0.0,016,일반행정
,1231,경호행사지원,100000000.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,260,연구용역비,2000000.0,98000000.0,98000000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,0.0,0.0,016,일반행정
,1231,경호행사지원,4988447000.0,4988447000.0,8679967000.0,0.0,0.0,0.0,0.0,420,건설비,180837980.0,8499129020.0,8499129020.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,3691520000.0,0.0,016,일반행정
,1231,경호행사지원,8435091000.0,8435091000.0,12895721000.0,0.0,0.0,0.0,0.0,430,유형자산,80732000.0,12666373000.0,12666373000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,148616000.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,173630000.0,4287000000.0,0.0,016,일반행정
,1031,의정지원,8175077000.0,8175077000.0,8175077000.0,0.0,0.0,0.0,0.0,110,인건비,452708740.0,7722368260.0,7722368260.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,30103505000.0,30103505000.0,30064974000.0,0.0,0.0,0.0,-58531000.0,210,운영비,3061046560.0,27003927440.0,27003927440.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,20000000.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,1670461000.0,1670461000.0,1679767000.0,0.0,0.0,9306000.0,0.0,220,여비,376558180.0,1303208820.0,1303208820.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,4889436000.0,4889436000.0,4889436000.0,0.0,0.0,0.0,0.0,240,업무추진비,478055930.0,4411380070.0,4411380070.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,15391616000.0,15391616000.0,15363621000.0,0.0,0.0,0.0,-27995000.0,250,직무수행경비,481253640.0,14882367360.0,14882367360.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,국회,0.0,1000,의정활동지원,0.0,0.0,0.0,011,입법및선거관리
,1031,의정지원,2652000000.0,2652000000.0,2856026000.0,0.0,0.0,86526000.0,0.0,260,연구용역비,645078280.0,2029714800.0,2029714800.0,010,일반·지방행정,0.0,0.0,일반회계,2022,181232920.0,국회,0.0,1000,의정활동지원,117500000.0,0.0,0.0,011,입법및선거관리
