회계연도,소관명,PRV_1_AMT,PRV_2_AMT,PRV_3_AMT,STL_TACCT_NM,THISP_1_AMT,THISP_2_AMT,THISP_3_AMT
2011,고용노동부,0,75636607381,695115276099,건물감가상각누계액,0,26503826432,898715111887
2011,고용노동부,0,8288269445,0,3. 구축물,0,15858567734,0
2011,고용노동부,0,1465585018,6822684427,구축물감가상각누계액,0,1654051717,14204516017
2011,고용노동부,0,13154218924,0,4. 기계장치,0,18229263759,0
2011,고용노동부,0,4714237964,8439980960,기계장치감가상각누계액,0,7132590161,11096673598
2011,고용노동부,0,49207148276,0,5. 집기ㆍ비품ㆍ차량운반구,0,53527195609,0
2011,고용노동부,0,9934103116,39273045160,집기ㆍ비품ㆍ차량운반구감가상각누계액,0,36457561324,17069634285
2011,고용노동부,0,7670696120,0,6. 기타일반유형자산,0,8738511980,0
2011,고용노동부,0,2818277816,4852418304,기타일반유형자산감가상각누계액,0,4116019208,4622492772
2011,고용노동부,0,0,157635386596,7. 건설중인일반유형자산,0,0,208537570624
2011,고용노동부,0,0,10207219917,Ⅳ.무형자산,0,0,3711968403
2011,고용노동부,0,0,1034688,1. 산업재산권,0,0,819128
2011,고용노동부,0,0,7967268349,2. 소프트웨어,0,0,3711149275
2011,고용노동부,0,0,2238916880,3. 기타무형자산,0,0,0
2011,고용노동부,0,0,174172468362,Ⅴ.기타비유동자산,0,0,196826741127
2011,고용노동부,0,0,174172468362,1. 기타의기타비유동자산,0,0,196826741127
2011,고용노동부,0,0,16785697928159,자산계,0,0,18458182684576
2011,고용노동부,0,0,0,부채,0,0,0
2011,고용노동부,0,0,47107783911,Ⅰ.유동부채,0,0,67342455432
2011,고용노동부,0,0,27653050289,1. 유동성장기차입부채,0,0,45568700626
2011,고용노동부,0,0,19454733622,2. 기타유동부채,0,0,21773754806
2011,고용노동부,0,0,383259674625,Ⅱ.장기차입부채,0,0,304190486936
2011,고용노동부,0,0,383259674625,1. 장기차입금,0,0,304190486936
2011,고용노동부,0,0,11862366607250,Ⅲ.장기충당부채,0,0,274237842389
2011,고용노동부,0,0,2942172321,1. 퇴직급여충당부채,0,0,4025248547
2011,고용노동부,0,0,11859424434929,2. 기타장기충당부채,0,0,270212593842
2011,고용노동부,0,0,30666073001,Ⅳ.기타비유동부채,0,0,11481798526569
2011,고용노동부,0,51435472000,0,1. 장기미지급금,0,48409856000,0
2011,고용노동부,0,20769398999,30666073001,장기미지급금현재가치할인차금,0,18754287056,29655568944
2011,고용노동부,0,0,0,2. 기타의기타비유동부채,0,0,11452142957625
2011,고용노동부,0,0,12323400138787,부채계,0,0,12127569311326
2011,고용노동부,0,0,0,순자산,0,0,0
2011,고용노동부,0,0,1643105155605,Ⅰ.기본순자산,0,0,1643105155605
2011,고용노동부,0,0,1708393012431,Ⅱ.적립금 및 잉여금,0,0,3087876212079
2011,고용노동부,0,0,1110799621336,Ⅲ.순자산조정,0,0,1599632005566
2011,고용노동부,0,0,4462297789372,순자산계,0,0,6330613373250
2011,고용노동부,0,0,16785697928159,부채와순자산계,0,0,18458182684576
2011,공정거래위원회,0,0,0,자산,0,0,0
2011,공정거래위원회,0,0,128717841,Ⅰ.유동자산,0,0,39640430
2011,공정거래위원회,0,0,21207,1. 현금및현금성자산,0,0,253
2011,공정거래위원회,0,269158840,0,2. 미수채권,0,248820750,0
