계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분,국회확정금액,정부안금액
차관계정,공공자금관리기금,2012,예탁이자수입,정부내부수입및기타,타회계전대차관이자수입,기획재정부,내부거래수입(예산=>기금간거래),1020650.0,1020650.0
,외국환평형기금,2012,기타이자수입및재산수입,재산수입,기타민간이자수입,기획재정부,일반수입,1211451402.0,1211451402.0
,외국환평형기금,2012,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,1000000000.0,1000000000.0
,일반회계,2012,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,53422817.0,53422817.0
,일반회계,2011,기타경상이전수입,경상이전수입,기타경상이전수입,교육과학기술부,일반수입,1016.0,1016.0
,일반회계,2011,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육과학기술부,일반수입,1879673.0,1879673.0
,일반회계,2011,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육과학기술부,일반수입,162608.0,162608.0
,일반회계,2011,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,금융위원회,일반수입,13044.0,13044.0
,일반회계,2011,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,금융위원회,일반수입,889565.0,889565.0
,일반회계,2011,전대차관이자수입,재산수입,기타민간전대차관이자수입,금융위원회,일반수입,1086.0,1086.0
,일반회계,2011,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,금융위원회,일반수입,73043.0,73043.0
차관계정,공공자금관리기금,2011,기타경상이전수입,경상이전수입,기타경상이전수입,기획재정부,일반수입,322508.0,322508.0
차관계정,공공자금관리기금,2011,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,기획재정부,일반수입,162129417.0,162129417.0
차관계정,공공자금관리기금,2011,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,기획재정부,일반수입,399825000.0,399825000.0
차관계정,공공자금관리기금,2011,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,기획재정부,일반수입,733625.0,733625.0
차관계정,공공자금관리기금,2011,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,기획재정부,일반수입,6216433.0,6216433.0
차관계정,공공자금관리기금,2011,전대차관이자수입,재산수입,기타민간전대차관이자수입,기획재정부,일반수입,30896821.0,30896821.0
차관계정,공공자금관리기금,2011,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,기획재정부,일반수입,44803263.0,44803263.0
차관계정,공공자금관리기금,2011,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,기획재정부,일반수입,65784.0,65784.0
차관계정,공공자금관리기금,2011,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,기획재정부,일반수입,622600.0,622600.0
차관계정,공공자금관리기금,2011,예탁원금회수,정부내부수입및기타,타회계전대차관원금회수,기획재정부,내부거래수입(예산=>기금간거래),25944604.0,25944604.0
차관계정,공공자금관리기금,2011,예탁이자수입,정부내부수입및기타,타회계전대차관이자수입,기획재정부,내부거래수입(예산=>기금간거래),1880562.0,1880562.0
