회계연도,소관명,결산예산구분명,지출금액
2016,고용노동부,결산,169174.0
2016,통일부,결산,8447.0
2016,법제처,결산,305.0
2016,국가보훈처,결산,47469.0
2016,산림청,결산,19665.0
2016,국세청,결산,15202.0
2016,관세청,결산,4885.0
2016,병무청,결산,1962.0
2016,농촌진흥청,결산,8820.0
2016,중소기업청,결산,97636.0
2016,특허청,결산,3961.0
2016,조달청,결산,1221.0
2016,환경부,결산,66597.0
2016,통계청,결산,3202.0
2016,기상청,결산,3962.0
2016,경찰청,결산,95142.0
2016,공정거래위원회,결산,1062.0
2016,민주평화통일자문회의,결산,265.0
2016,문화재청,결산,7231.0
2016,국가인권위원회,결산,269.0
2016,방위사업청,결산,111185.0
2016,행정중심복합도시건설청,결산,2965.0
2016,기획재정부,결산,191323.0
2016,문화체육관광부,결산,55723.0
2016,보건복지부,결산,544469.0
2016,여성가족부,결산,6218.0
2016,방송통신위원회,결산,542.0
2016,금융위원회,결산,5281.0
2016,국민권익위원회,결산,672.0
2016,원자력안전위원회,결산,902.0
2016,대통령경호실,결산,786.0
2016,미래창조과학부,결산,131610.0
2016,교육부,결산,578790.0
2016,외교부,결산,21337.0
2016,농림축산식품부,결산,138002.0
2016,산업통상자원부,결산,81747.0
2016,국토교통부,결산,423424.0
2016,해양수산부,결산,47100.0
2016,식품의약품안전처,결산,4171.0
2016,대통령비서실 및 국가안보실,결산,844.0
2016,새만금개발청,결산,795.0
2016,4·16세월호참사 특별조사위원회,결산,58.0
2016,행정자치부,결산,387196.0
2016,국민안전처,결산,34622.0
2016,인사혁신처,결산,163345.0
2015,국가정보원,결산,4735.0
2015,감사원,결산,1102.0
2015,국회,결산,5180.0
2015,대법원,결산,15284.0
2015,헌법재판소,결산,368.0
2015,중앙선거관리위원회,결산,2921.0
2015,국무조정실 및 국무총리비서실,결산,5251.0
2015,법무부,결산,32150.0
2015,국방부,결산,274753.0
2015,고용노동부,결산,158506.0
2015,통일부,결산,2666.0
2015,법제처,결산,287.0
2015,국가보훈처,결산,45690.0
2015,산림청,결산,19142.0
2015,국세청,결산,15433.0
2015,관세청,결산,4958.0
2015,병무청,결산,1919.0
2015,농촌진흥청,결산,12609.0
2015,중소기업청,결산,89255.0
2015,특허청,결산,4038.0
2015,조달청,결산,1238.0
2015,환경부,결산,65238.0
